annee,region,zref,pcgapdeptotndpoor
2014,Hauts Bassins,153530,9021.9375
2014,Hauts Bassins,153530,9021.9375
2014,Hauts Bassins,153530,9021.9375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,20950.4375
2014,Hauts Bassins,153530,32036.96875
2014,Hauts Bassins,153530,32036.96875
2014,Hauts Bassins,153530,32036.96875
2014,Hauts Bassins,153530,32036.96875
2014,Hauts Bassins,153530,32036.96875
2014,Hauts Bassins,153530,32036.96875
2014,Hauts Bassins,153530,32036.96875
2014,Hauts Bassins,153530,9228.796875
2014,Hauts Bassins,153530,9228.796875
2014,Hauts Bassins,153530,9228.796875
2014,Hauts Bassins,153530,9228.796875
2014,Hauts Bassins,153530,9228.796875
2014,Hauts Bassins,153530,9228.796875
2014,Hauts Bassins,153530,9228.796875
2014,Hauts Bassins,153530,9228.796875
2014,Hauts Bassins,153530,5276.3125
2014,Hauts Bassins,153530,5276.3125
2014,Hauts Bassins,153530,5276.3125
2014,Hauts Bassins,153530,5276.3125
2014,Hauts Bassins,153530,5276.3125
2014,Hauts Bassins,153530,5276.3125
2014,Hauts Bassins,153530,5276.3125
2014,Hauts Bassins,153530,5276.3125
2014,Hauts Bassins,153530,5276.3125
2014,Hauts Bassins,153530,19590.82813
2014,Hauts Bassins,153530,19590.82813
2014,Hauts Bassins,153530,19590.82813
2014,Hauts Bassins,153530,19590.82813
2014,Hauts Bassins,153530,19590.82813
2014,Hauts Bassins,153530,19590.82813
2014,Hauts Bassins,153530,19590.82813
2014,Hauts Bassins,153530,19590.82813
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,32783.85938
2014,Hauts Bassins,153530,7934.28125
2014,Hauts Bassins,153530,7934.28125
2014,Hauts Bassins,153530,7934.28125
2014,Hauts Bassins,153530,7934.28125
2014,Hauts Bassins,153530,45123.9375
2014,Hauts Bassins,153530,45123.9375
2014,Hauts Bassins,153530,45123.9375
2014,Hauts Bassins,153530,45123.9375
2014,Hauts Bassins,153530,45123.9375
2014,Hauts Bassins,153530,45123.9375
2014,Hauts Bassins,153530,45123.9375
2014,Hauts Bassins,153530,45123.9375
2014,Hauts Bassins,153530,45123.9375
2014,Hauts Bassins,153530,45123.9375
2014,Hauts Bassins,153530,56292.70313
2014,Hauts Bassins,153530,56292.70313
2014,Hauts Bassins,153530,56292.70313
2014,Hauts Bassins,153530,56292.70313
2014,Hauts Bassins,153530,56292.70313
2014,Hauts Bassins,153530,56292.70313
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,9215.359375
2014,Hauts Bassins,153530,60389.19531
2014,Hauts Bassins,153530,60389.19531
2014,Hauts Bassins,153530,60389.19531
2014,Hauts Bassins,153530,60389.19531
2014,Hauts Bassins,153530,60389.19531
2014,Hauts Bassins,153530,60389.19531
2014,Hauts Bassins,153530,60389.19531
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,73883.75781
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,22798.91406
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,40944.30469
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,9803.5625
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,24032.25781
2014,Hauts Bassins,153530,4275.4375
2014,Hauts Bassins,153530,4275.4375
2014,Hauts Bassins,153530,4275.4375
2014,Hauts Bassins,153530,4275.4375
2014,Hauts Bassins,153530,4275.4375
2014,Hauts Bassins,153530,4275.4375
2014,Hauts Bassins,153530,17729.39063
2014,Hauts Bassins,153530,17729.39063
2014,Hauts Bassins,153530,17729.39063
